iter	Logloss
113	0.3605593582
114	0.3604184921
115	0.3602125
116	0.3600641479
117	0.3599235397
118	0.3597696182
119	0.3596331436
120	0.3594728668
121	0.3592883987
122	0.3591789078
123	0.3590727997
124	0.3589378876
125	0.3587837265
126	0.3586864441
127	0.3585445389
128	0.3584327881
129	0.3582195816
130	0.358076091
131	0.3579627975
132	0.3578352478
133	0.3576833939
134	0.3575182953
135	0.3573480988
136	0.357172435
137	0.3570349457
138	0.3569115204
139	0.3567772552
140	0.3566031357
141	0.3564826904
142	0.3563318359
143	0.3561844604
144	0.3560590408
145	0.3559494934
146	0.3557854691
147	0.3556352417
148	0.3554632538
149	0.3553399796
150	0.3552384583
151	0.355084996
152	0.3549773499
153	0.354835704
154	0.3547360077
155	0.354610228
156	0.3544569397
157	0.3543558533
158	0.3542093781
159	0.3541228958
160	0.354022467
161	0.3539271515
162	0.3538499191
163	0.353750119
164	0.3536001465
165	0.3535022339
166	0.3534076691
167	0.3533152176
168	0.3531994675
169	0.3530897827
170	0.3529721497
171	0.3528828888
172	0.352710022
173	0.352598616
174	0.3524792984
175	0.3523492096
176	0.3522489166
177	0.3521511795
178	0.3520325409
179	0.3519060043
180	0.3518258286
181	0.3517298019
182	0.3516044022
183	0.3514796585
184	0.3513850235
185	0.3512693314
186	0.3511984879
187	0.3510609024
188	0.3509424072
189	0.35085961
190	0.3507349182
191	0.3506495712
192	0.3505482803
193	0.3504518311
194	0.3503513794
195	0.3502114441
196	0.3501088913
197	0.349998172
198	0.3499304153
199	0.3498010864
200	0.3497440353
201	0.3496374619
202	0.3495168655
203	0.3494235504
204	0.349336348
205	0.3492293594
206	0.3491507248
207	0.3490376343
208	0.3489276703
209	0.3488323456
210	0.348714119
211	0.3485773437
212	0.3484589783
213	0.3483768341
214	0.348278653
215	0.3481861465
216	0.3480893539
217	0.3480165756
218	0.3478974167
219	0.3477583847
220	0.3476477737
221	0.3475107834
222	0.3474131332
223	0.3473139008
224	0.3472014877
225	0.3471093948
226	0.3469983322
227	0.346877298
228	0.3468277588
229	0.3467479294
230	0.3466709702
231	0.3465680328
232	0.3464437225
233	0.3463728348
234	0.3462733795
235	0.3461676651
236	0.3460955521
237	0.3459797211
238	0.3458639496
239	0.3457693069
240	0.3456972717
241	0.3456106613
242	0.3455273712
243	0.3454299881
244	0.3453368973
245	0.3452605759
246	0.3451829819
247	0.3451021988
248	0.3450155121
249	0.3449312637
250	0.3448750259
251	0.3447941208
252	0.3446803741
253	0.3446069092
254	0.3445273544
255	0.3444476669
256	0.3443889496
257	0.3443085846
258	0.3442050537
259	0.3441536011
260	0.3440525513
261	0.343968425
262	0.3438978027
263	0.3438100937
264	0.343713974
265	0.3436139755
266	0.3435368713
267	0.3434644348
268	0.3433827667
269	0.3432990021
270	0.3432380905
271	0.3431630844
272	0.3430600037
273	0.3429871719
274	0.3428950958
275	0.3427917831
276	0.3427386276
277	0.3426482437
278	0.3425681686
279	0.3424917374
280	0.3424146851
281	0.3423714676
282	0.3422938858
283	0.342225679
284	0.3421261169
285	0.3420679611
286	0.3419937454
287	0.3419363678
288	0.3418452881
289	0.3417611435
290	0.3416741837
291	0.3416013992
292	0.3415126816
293	0.3414449066
294	0.3413438675
295	0.3412588699
296	0.3411883652
297	0.34112108
298	0.3410564697
299	0.341010112
300	0.3409192688
301	0.3408082184
302	0.340695105
303	0.3406382935
304	0.3405584702
305	0.3404558685
306	0.3403763672
307	0.3403226761
308	0.3402459259
309	0.3401690125
310	0.3400919968
311	0.340030397
312	0.3399691559
313	0.3398992813
314	0.3397943634
315	0.3397071701
316	0.3396209015
317	0.3395508469
318	0.339494548
319	0.3394174805
320	0.3393344757
321	0.3392676071
322	0.3392062836
323	0.339139267
324	0.3390810715
325	0.3390168884
326	0.3389554276
327	0.3388795639
328	0.3388177994
329	0.3387101685
330	0.3386328186
331	0.3385807571
332	0.3385159958
333	0.3384174667
334	0.3383511459
335	0.338290564
336	0.3382296021
337	0.3381769318
338	0.3381107269
339	0.3380226212
340	0.3379290039
341	0.3378491257
342	0.3377669052
343	0.3377097366
344	0.3376421936
345	0.3375650757
346	0.3375091309
347	0.3374351105
348	0.3373871674
349	0.3373088409
350	0.3372055588
351	0.3371350052
352	0.3370373291
353	0.3369676392
354	0.3369203445
355	0.3368293396
356	0.3367455353
357	0.3366640579
358	0.3365822769
359	0.3365106644
360	0.3364446899
361	0.3363633835
362	0.3362926102
363	0.3362040207
364	0.3361659439
365	0.3361141678
366	0.3360592346
367	0.3360004471
368	0.3359117264
369	0.3357994278
370	0.3357456421
371	0.3356558929
372	0.3355966797
373	0.3355260269
374	0.3354723465
375	0.3354043671
376	0.3353340866
377	0.3352755707
378	0.3352196564
379	0.3351395355
380	0.3350670532
381	0.3350144669
382	0.3349248459
383	0.334859758
384	0.334807991
385	0.3347410782
386	0.3346463211
387	0.3345717758
388	0.334510228
389	0.3344589798
390	0.3343745743
391	0.3342892197
392	0.3342029022
393	0.3341521042
394	0.3340969406
395	0.3339911484
396	0.3339294113
397	0.3338577301
398	0.3337885422
399	0.3337248932
400	0.3336684464
401	0.3336199005
402	0.3335610886
403	0.3335039429
404	0.3334335617
405	0.3333409866
406	0.3332945038
407	0.3332309448
408	0.333168544
409	0.333071759
410	0.3330220337
411	0.3329610748
412	0.3328994995
413	0.3328639359
414	0.3328021866
415	0.3327513153
416	0.3326655563
417	0.3325901321
418	0.3324959854
419	0.3324278336
420	0.3323649384
421	0.332287291
422	0.3321884308
423	0.3320892334
424	0.3320503555
425	0.3319930008
426	0.3319042526
427	0.3318623291
428	0.3318079239
429	0.3317323715
430	0.3316511871
431	0.3315805557
432	0.3315158066
433	0.3314549667
434	0.3313944717
435	0.3313206436
436	0.3312625092
437	0.3312107483
438	0.331163472
439	0.3311152573
440	0.3310649811
441	0.3309841125
442	0.3309474091
443	0.3308819962
444	0.3308114532
445	0.3307355179
446	0.3306604218
447	0.3306067505
448	0.33052939
449	0.3304504547
450	0.3303757172
451	0.3302977142
452	0.3302465958
453	0.3301812378
454	0.3301265366
455	0.3300562698
456	0.3299906693
457	0.3299366058
458	0.3298812378
459	0.3298252151
460	0.3297688583
461	0.3296959686
462	0.329625563
463	0.3295447159
464	0.3294794159
465	0.3294011002
466	0.3293209198
467	0.3292482651
468	0.3291970612
469	0.3291377655
470	0.3290720688
471	0.329027655
472	0.3289640793
473	0.3288995026
474	0.3288281204
475	0.3287595795
476	0.3286916245
477	0.32865569
478	0.3285834259
479	0.328533139
480	0.3284650284
481	0.3283943253
482	0.3283120193
483	0.3282600235
484	0.32820578
485	0.3281422043
486	0.3281057083
487	0.3280492035
488	0.3280250946
489	0.3279580597
490	0.327902034
491	0.3278531586
492	0.3278007462
493	0.3277235397
494	0.3276578262
495	0.3275825211
496	0.3275212067
497	0.3274701111
498	0.3274231491
499	0.3273750931
500	0.3273173065
501	0.3272466507
502	0.3271706924
503	0.3271036057
504	0.3270564774
505	0.3270165131
506	0.3269285324
507	0.3268459839
508	0.3267663727
509	0.3266675644
510	0.3266087082
511	0.3265581024
512	0.3264726135
513	0.3263921051
514	0.3263227921
515	0.3262493515
516	0.3261968384
517	0.326133873
518	0.3260522903
519	0.3259929474
520	0.3259138
521	0.32587285
522	0.3258310349
523	0.3257732956
524	0.3257072876
525	0.3256352676
526	0.3255659866
527	0.3255031113
528	0.325448558
529	0.3253788025
530	0.3253070465
531	0.3252292084
532	0.3251243454
533	0.3250622101
534	0.3250128235
535	0.324967662
536	0.3249157471
537	0.3248421707
538	0.3247980469
539	0.3247264481
540	0.3246914703
541	0.3246128983
542	0.3245584061
543	0.3245208832
544	0.3244477203
545	0.324372879
546	0.3243003159
547	0.3242119339
548	0.3241398407
549	0.3240733521
550	0.324038855
551	0.3239958511
552	0.3239171738
553	0.3238528549
554	0.3238072739
555	0.3237546936
556	0.3236889374
557	0.3236433853
558	0.3235681366
559	0.3234649231
560	0.3234290665
561	0.323370134
562	0.323320787
563	0.3232589691
564	0.3232126526
565	0.3231576111
566	0.3230805496
567	0.3230213898
568	0.3229527756
569	0.3228872055
570	0.3228198151
571	0.3227559891
572	0.3227013977
573	0.3226205688
574	0.3225516846
575	0.3225060883
576	0.3224359039
577	0.3224067032
578	0.3223439575
579	0.3222589432
580	0.3222055099
581	0.3221355972
582	0.3220743164
583	0.3220354462
584	0.3219855362
585	0.3219261139
586	0.3218718414
587	0.3218260681
588	0.3217412186
589	0.321677153
590	0.3216220505
591	0.3215460205
592	0.3214980377
593	0.3214427399
594	0.3213926453
595	0.321330629
596	0.3212731979
597	0.3212052353
598	0.3211385437
599	0.3210655594
600	0.3209994339
601	0.3209707138
602	0.3209237183
603	0.3209027298
604	0.3208362305
605	0.3207802536
606	0.3207253494
607	0.3206546814
608	0.320608876
609	0.3205785599
610	0.3205253952
611	0.3204880875
612	0.3204293167
613	0.3203667496
614	0.3203244843
615	0.320258403
616	0.3201984512
617	0.3201589859
618	0.3200862091
619	0.3200378632
620	0.3199838821
621	0.3199256363
622	0.3198484192
623	0.3198238785
624	0.3197781311
625	0.3197179779
626	0.319659462
627	0.3195911331
628	0.3195282227
629	0.3194681152
630	0.319404953
631	0.3193395508
632	0.3192691849
633	0.3192048233
634	0.3191491028
635	0.3190935211
636	0.3190107071
637	0.3189376587
638	0.3188741318
639	0.3188119995
640	0.3187486526
641	0.3186969254
642	0.3186388947
643	0.3185815155
644	0.3185265625
645	0.3184657761
646	0.3184150116
647	0.3183756683
648	0.3183317383
649	0.3182787857
650	0.3182221115
651	0.3181563736
652	0.3181105743
653	0.3180266998
654	0.3179936783
655	0.3179552521
656	0.317895192
657	0.3178238632
658	0.3177659164
659	0.3177049286
660	0.3176606857
661	0.3176119431
662	0.3175537918
663	0.3175103546
664	0.3174637741
665	0.317402536
666	0.3173507233
667	0.3172897385
668	0.3172381439
669	0.3171876801
670	0.317132486
671	0.3170780045
672	0.3170418915
673	0.3170036102
674	0.3169293747
675	0.3168613937
676	0.31677892
677	0.3167381821
678	0.3167048477
679	0.3166078003
680	0.316553125
681	0.3164953552
682	0.3164319244
683	0.3163714127
684	0.3163232712
685	0.3162686188
686	0.3162199341
687	0.3161608566
688	0.3161056671
689	0.3160853058
690	0.3160263412
691	0.3159686874
692	0.3159035141
693	0.3158716125
694	0.315852742
695	0.3158203323
696	0.3157842484
697	0.3157300049
698	0.3156745041
699	0.3156057159
87454
